Model,Combination,Objective
e_coli_core,['Fructose'],0.21
e_coli_core,['Glucose'],0.21
iJO1366,['Fructose'],0.25
iJO1366,['Galactose'],0.22
iJO1366,['Glucose'],0.25
iJO1366,['Lactose'],0.23
iJO1366,['Maltose'],0.25
iJO1366,['Sucrose'],0.25
iMS520,['Fructose'],0.21
iMS520,['Galactose'],0.31
iMS520,['Glucose'],0.31
iMS520,['Lactose'],0.33
iMS520,['Maltose'],0.28
iMS520,['Sucrose'],0.4
iKS1119,['Fructose'],0.49
iKS1119,['Galactose'],0.49
iKS1119,['Glucose'],0.49
iKS1119,['Lactose'],0.49
iKS1119,['Maltose'],0.53
iKS1119,['Sucrose'],0.53
