lambda_best,q_best,lambda_min,q_min,lambda_max,q_max
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
0.0,2.2448469462432784e-13,0.0,0.0,0.0,1.187093341175784e-05
