lambda_best,q_best,lambda_min,q_min,lambda_max,q_max
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
0.0,2.9872166396261556e-18,0.0,0.0,0.0,1.2555186606947082e-05
