,fluxes
ACALD,0.0
ACALDt,0.0
ACKr,0.0
ACONTa,0.5127585359612254
ACONTb,0.5127585359612256
ACt2r,0.0
ADK1,0.0
AKGDH,0.4138614410971251
AKGt2r,0.0
ALCD2x,0.0
ATPM,0.0
ATPS4r,4.128571621358392
Biomass_Ecoli_core,0.09166474637510491
CO2t,2.0991608856342245
CS,0.5127585359612254
CYTBD,3.986374544699932
D-LACt2,0.0
ENO,1.4262252330130583
ETOHt2r,0.0
EX_ac(e),0.0
EX_acald(e),0.0
EX_akg(e),0.0
EX_co2(e),2.0991608856342245
EX_etoh(e),0.0
EX_for(e),0.0
EX_glc(e),1.0
EX_glu_L(e),0.0
EX_h(e),1.838794812284614
EX_h2o(e),2.766883564129034
EX_lac_D(e),0.0
EX_nh4(e),0.4998295290341719
EX_o2(e),1.9931872723499655
EX_pi(e),0.3372071024900965
EX_pyr(e),0.0
EX_succ(e),0.0
FBA,0.7158491656598397
FBP,0.0
FORt2,0.0
FORti,0.0
FUM,0.4138614410971251
G6PDH2r,0.5789157333625309
GAPD,1.563355693590215
GLCpts,1.0000000000000002
GLNS,0.02343867564811432
GLUDy,-0.47639085338605763
GLUN,0.0
GLUSy,0.0
GLUt2r,0.0
GND,0.5789157333625308
H2Ot,2.766883564129034
ICDHyr,0.5127585359612256
ICL,0.0
LDH_D,0.0
MALS,0.0
MDH,0.4138614410971251
ME1,0.0
ME2,0.0
NADH16,3.572513103602806
NADTRHD,0.0
NH4t,0.49982952903417194
O2t,1.9931872723499655
PDH,0.8562996724258437
PFK,0.7158491656598397
PFL,0.0
PGI,0.4022929936305727
PGK,1.5633556935902153
PGL,0.5789157333625309
PGM,1.4262252330130583
PIt2r,0.3372071024900965
PPC,0.2626744972125004
PPCK,0.0
PPS,0.0
PTAr,0.0
PYK,0.11596756595724061
PYRt2r,0.0
RPE,0.32005520254726183
RPI,0.258860530815269
SUCCt2_2,0.0
SUCCt3,0.0
SUCDi,0.4138614410971251
SUCOAS,0.4138614410971251
TALA,0.17657308799433735
THD2,0.0
TKT1,0.1765730879943373
TKT2,0.14348211455292445
TPI,0.7158491656598397
