Version,Cores,Runtime
0,10,24
0,1,68
0,2,41
0,3,33
0,4,28
0,5,28
0,6,24
0,7,24
0,8,21
0,9,22
1,10,43
1,1,240
1,2,122
1,3,86
1,4,72
1,5,59
1,6,53
1,7,45
1,8,47
1,9,41
2,10,134
2,1,1145
2,2,576
2,3,397
2,4,299
2,5,258
2,6,217
2,7,183
2,8,164
2,9,142
ecoli_vM_10.log,ecoli_vM_10.log,21
ecoli_vM_1.log,ecoli_vM_1.log,45
ecoli_vM_2.log,ecoli_vM_2.log,29
ecoli_vM_3.log,ecoli_vM_3.log,24
ecoli_vM_4.log,ecoli_vM_4.log,21
ecoli_vM_5.log,ecoli_vM_5.log,23
ecoli_vM_6.log,ecoli_vM_6.log,18
ecoli_vM_7.log,ecoli_vM_7.log,18
ecoli_vM_8.log,ecoli_vM_8.log,18
ecoli_vM_9.log,ecoli_vM_9.log,21
