biomass_t_min,biomass_mean_mg_l,glucose_t_min,glucose_mean_mM,biomass_SD_mg_l,glucose_SD_mM
0,8.044434,0,11.03448276,0.09205503,0.455576083
30,8.091252,60,10.71750663,0.055122152,0.221946541
60,11.1951045,120,11.02011494,0.31149662,0.217705008
90,12.790035,180,10.61184792,0.239519603,0.318795439
120,15.7483035,240,10.36825818,0.202439739,0.148052337
150,18.8376705,300,9.776525199,0.240936506,0.234670258
180,25.4551275,360,8.603006189,0.632855504,0.327848088
210,29.840805,390,8.150972591,0.515664848,0.354326382
240,37.741545,420,5.37831565,0.277391962,0.144963306
270,49.1740875,450,4.276635721,0.61590474,0.211384143
300,66.808395,480,4.402851459,0.51413769,0.10147893
330,81.498015,510,1.48938992,1.456253662,0.051366897
360,110.6749575,540,0,0.447971331,0
390,151.552215,570,0,1.266561273,0
420,229.2921,600,0,2.049474372,0
450,306.27585,630,0,16.16558214,0
480,386.39727,690,0,21.84194245,0
510,477.2547,720,0,20.4336699,0
540,618.67584,,,1.591208114,
570,754.54632,,,8.88128641,
600,839.40462,,,15.33395141,
630,867.34152,,,12.62859952,
660,880.37874,,,12.26884316,
690,870.17328,,,17.90846188,
720,856.3131,,,12.38561275,
,,,,,
