index,minimum,maximum,Combination
PFK,9.789458863898322,9.789458863898268,Fructose
PFL,17.8046742179357,17.804674217935304,Fructose
PGI,-0.0433909046954691,-0.043390904695738745,Fructose
PGK,-19.437336380718623,-19.437336380718673,Fructose
PGL,0.0,0.0,Fructose
ACALD,-8.279455380486407,-8.279455380486644,Fructose
AKGt2r,0.0,0.0,Fructose
PGM,-19.120688607914598,-19.120688607914637,Fructose
PIt2r,0.7786444931912869,0.7786444931912853,Fructose
ALCD2x,-8.27945538048645,-8.27945538048661,Fructose
ACALDt,0.0,0.0,Fructose
ACKr,-8.503585277961303,-8.5035852779615,Fructose
PPC,0.606541348761507,0.6065413487613716,Fructose
ACONTa,0.22836315646942662,0.22836315646941904,Fructose
ACONTb,0.22836315646942681,0.22836315646941546,Fructose
ATPM,8.39,8.389999999999967,Fructose
PPCK,0.0,0.0,Fructose
ACt2r,-8.503585277961305,-8.50358527796154,Fructose
PPS,0.0,0.0,Fructose
ADK1,0.0,0.0,Fructose
AKGDH,0.0,0.0,Fructose
ATPS4r,-5.452052576810853,-5.452052576811109,Fructose
PTAr,8.503585277961493,8.5035852779613,Fructose
PYK,8.404273021945587,8.404273021945446,Fructose
BIOMASS_Ecoli_core_w_GAM,0.211662949735311,0.21166294973531058,Fructose
PYRt2,0.0,0.0,Fructose
CO2t,0.3781781922922454,0.37817819229205923,Fructose
RPE,-0.1521433282697411,-0.15214332826984683,Fructose
CS,0.2283631564694266,0.2283631564694086,Fructose
RPI,-0.15214332826967347,-0.15214332826974156,Fructose
SUCCt2_2,0.0,0.0,Fructose
CYTBD,0.0,0.0,Fructose
D_LACt2,0.0,0.0,Fructose
ENO,19.120688607914637,19.1206886079146,Fructose
SUCCt3,0.0,0.0,Fructose
ETOHt2r,-8.279455380486374,-8.279455380486631,Fructose
SUCDi,0.0,1000.0,Fructose
SUCOAS,0.0,0.0,Fructose
TALA,-0.037866501707647084,-0.037866501707680224,Fructose
THD2,3.6291941024568146,3.629194102456575,Fructose
TKT1,-0.03786650170764701,-0.0378665017077044,Fructose
TKT2,-0.11427682656209431,-0.1142768265621744,Fructose
TPI,9.789458863898322,9.789458863898286,Fructose
EX_ac_e,8.50358527796158,8.503585277961298,Fructose
EX_acald_e,0.0,0.0,Fructose
EX_akg_e,0.0,0.0,Fructose
EX_co2_e,-0.3781781922920302,-0.3781781922923335,Fructose
EX_etoh_e,8.279455380486619,8.27945538048645,Fructose
EX_for_e,17.804674217935553,17.804674217935304,Fructose
EX_fru_e,-10.0,-10.0,Fructose
EX_fum_e,0.0,0.0,Fructose
EX_glc__D_e,0.0,0.0,Fructose
EX_gln__L_e,0.0,0.0,Fructose
EX_glu__L_e,0.0,0.0,Fructose
EX_h_e,30.5542182675872,30.554218267586922,Fructose
EX_h2o_e,-7.115795981726669,-7.115795981726872,Fructose
EX_lac__D_e,0.0,0.0,Fructose
EX_mal__L_e,0.0,0.0,Fructose
EX_nh4_e,-1.154155732316689,-1.1541557323167033,Fructose
EX_o2_e,0.0,0.0,Fructose
EX_pi_e,-0.7786444931912876,-0.7786444931912783,Fructose
EX_pyr_e,0.0,0.0,Fructose
EX_succ_e,0.0,0.0,Fructose
FBA,9.789458863898322,9.789458863898288,Fructose
FBP,0.0,0.0,Fructose
FORt2,0.0,0.0,Fructose
FORt,-17.804674217935226,-17.804674217935624,Fructose
FRD7,0.0,999.9999999999998,Fructose
FRUpts2,10.000000000000002,10.000000000000002,Fructose
FUM,0.0,0.0,Fructose
FUMt2_2,0.0,0.0,Fructose
G6PDH2r,0.0,0.0,Fructose
GAPD,19.43733638071868,19.43733638071862,Fructose
GLCpts,0.0,0.0,Fructose
GLNS,0.05412221624731901,0.0541222162472765,Fructose
GLNabc,0.0,0.0,Fructose
GLUDy,-1.1000335160693715,-1.100033516069415,Fructose
GLUN,0.0,0.0,Fructose
GLUSy,0.0,0.0,Fructose
GLUt2r,0.0,0.0,Fructose
GND,0.0,0.0,Fructose
H2Ot,7.115795981726857,7.115795981726759,Fructose
ICDHyr,0.22836315646942681,0.22836315646941135,Fructose
ICL,0.0,0.0,Fructose
LDH_D,0.0,0.0,Fructose
MALS,0.0,0.0,Fructose
MALt2_2,0.0,0.0,Fructose
MDH,0.0,0.0,Fructose
ME1,0.0,0.0,Fructose
ME2,0.0,0.0,Fructose
NADH16,0.0,0.0,Fructose
NADTRHD,0.0,0.0,Fructose
NH4t,1.1541557323167033,1.154155732316689,Fructose
O2t,0.0,0.0,Fructose
PDH,0.0,0.0,Fructose
PFK,9.789458863898338,9.789458863898256,Glucose
PFL,17.80467421793574,17.8046742179353,Glucose
PGI,9.956609095304533,9.956609095304263,Glucose
PGK,-19.43733638071862,-19.437336380718673,Glucose
PGL,0.0,0.0,Glucose
ACALD,-8.279455380486368,-8.279455380486649,Glucose
AKGt2r,0.0,0.0,Glucose
PGM,-19.120688607914595,-19.120688607914637,Glucose
PIt2r,0.7786444931912905,0.7786444931912898,Glucose
ALCD2x,-8.279455380486418,-8.27945538048662,Glucose
ACALDt,0.0,0.0,Glucose
ACKr,-8.5035852779613,-8.5035852779615,Glucose
PPC,0.606541348761507,0.6065413487613819,Glucose
ACONTa,0.22836315646942662,0.22836315646941532,Glucose
ACONTb,0.22836315646942681,0.22836315646941208,Glucose
ATPM,8.39,8.389999999999958,Glucose
PPCK,0.0,0.0,Glucose
ACt2r,-8.503585277961305,-8.503585277961575,Glucose
PPS,0.0,0.0,Glucose
ADK1,0.0,0.0,Glucose
AKGDH,0.0,0.0,Glucose
ATPS4r,-5.4520525768108445,-5.452052576811159,Glucose
PTAr,8.503585277961522,8.503585277961298,Glucose
PYK,8.404273021945595,8.404273021945434,Glucose
BIOMASS_Ecoli_core_w_GAM,0.211662949735311,0.21166294973531047,Glucose
PYRt2,0.0,0.0,Glucose
CO2t,0.37817819229232635,0.378178192292049,Glucose
RPE,-0.1521433282697411,-0.15214332826986718,Glucose
CS,0.2283631564694266,0.2283631564694065,Glucose
RPI,-0.15214332826965848,-0.15214332826974156,Glucose
SUCCt2_2,0.0,0.0,Glucose
CYTBD,0.0,0.0,Glucose
D_LACt2,0.0,0.0,Glucose
ENO,19.120688607914637,19.120688607914598,Glucose
SUCCt3,0.0,0.0,Glucose
ETOHt2r,-8.279455380486352,-8.279455380486644,Glucose
SUCDi,0.0,1000.0,Glucose
SUCOAS,0.0,0.0,Glucose
TALA,-0.03786650170764706,-0.03786650170769638,Glucose
THD2,3.6291941024569114,3.629194102456553,Glucose
TKT1,-0.03786650170764701,-0.03786650170771729,Glucose
TKT2,-0.11427682656209424,-0.11427682656218363,Glucose
TPI,9.789458863898338,9.789458863898284,Glucose
EX_ac_e,8.50358527796161,8.503585277961296,Glucose
EX_acald_e,0.0,0.0,Glucose
EX_akg_e,0.0,0.0,Glucose
EX_co2_e,-0.37817819229202426,-0.3781781922923896,Glucose
EX_etoh_e,8.279455380486631,8.279455380486413,Glucose
EX_for_e,17.804674217935553,17.804674217935304,Glucose
EX_fru_e,0.0,0.0,Glucose
EX_fum_e,0.0,0.0,Glucose
EX_glc__D_e,-10.0,-10.0,Glucose
EX_gln__L_e,0.0,0.0,Glucose
EX_glu__L_e,0.0,0.0,Glucose
EX_h_e,30.554218267587313,30.55421826758691,Glucose
EX_h2o_e,-7.115795981726704,-7.115795981726918,Glucose
EX_lac__D_e,0.0,0.0,Glucose
EX_mal__L_e,0.0,0.0,Glucose
EX_nh4_e,-1.154155732316686,-1.1541557323167033,Glucose
EX_o2_e,0.0,0.0,Glucose
EX_pi_e,-0.7786444931912898,-0.778644493191284,Glucose
EX_pyr_e,0.0,0.0,Glucose
EX_succ_e,0.0,0.0,Glucose
FBA,9.789458863898338,9.789458863898286,Glucose
FBP,0.0,0.0,Glucose
FORt2,0.0,0.0,Glucose
FORt,-17.80467421793518,-17.804674217935656,Glucose
FRD7,0.0,999.9999999999998,Glucose
FRUpts2,0.0,0.0,Glucose
FUM,0.0,0.0,Glucose
FUMt2_2,0.0,0.0,Glucose
G6PDH2r,0.0,0.0,Glucose
GAPD,19.437336380718683,19.437336380718616,Glucose
GLCpts,10.000000000000002,10.000000000000002,Glucose
GLNS,0.05412221624731901,0.05412221624726708,Glucose
GLNabc,0.0,0.0,Glucose
GLUDy,-1.1000335160693706,-1.100033516069436,Glucose
GLUN,0.0,0.0,Glucose
GLUSy,0.0,0.0,Glucose
GLUt2r,0.0,0.0,Glucose
GND,0.0,0.0,Glucose
H2Ot,7.115795981726891,7.115795981726752,Glucose
ICDHyr,0.22836315646942681,0.2283631564694079,Glucose
ICL,0.0,0.0,Glucose
LDH_D,0.0,0.0,Glucose
MALS,0.0,0.0,Glucose
MALt2_2,0.0,0.0,Glucose
MDH,0.0,0.0,Glucose
ME1,0.0,0.0,Glucose
ME2,0.0,0.0,Glucose
NADH16,0.0,0.0,Glucose
NADTRHD,0.0,0.0,Glucose
NH4t,1.1541557323167033,1.154155732316686,Glucose
O2t,0.0,0.0,Glucose
PDH,0.0,0.0,Glucose
