index,minimum,maximum,Combination
EX_cm_e,0.0,0.0,Fructose
EX_cmp_e,0.0,0.0,Fructose
EX_co2_e,-0.08951674943044638,-0.08951674942813698,Fructose
EX_cobalt2_e,-6.125645257353878e-06,-6.125645257353776e-06,Fructose
DM_4crsol_c,5.464075569559564e-05,5.4640755699752916e-05,Fructose
DM_5drib_c,0.00016441231870737533,0.00016441231873933946,Fructose
DM_aacald_c,0.0,0.0,Fructose
DM_amob_c,0.0,0.0,Fructose
DM_mththf_c,0.00010977156301179485,0.00010977156295676663,Fructose
EX_colipa_e,0.0,0.0,Fructose
DM_oxam_c,0.0,0.0,Fructose
EX_glc__D_e,0.0,0.0,Fructose
EX_glcn_e,0.0,0.0,Fructose
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,0.0,Fructose
EX_glcr_e,0.0,0.0,Fructose
EX_colipap_e,0.0,0.0,Fructose
EX_glcur_e,0.0,0.0,Fructose
EX_glcur1p_e,0.0,0.0,Fructose
BIOMASS_Ec_iJO1366_core_53p95M,0.245025810294151,0.24502581029415152,Fructose
EX_12ppd__R_e,0.0,0.0,Fructose
EX_gln__L_e,0.0,0.0,Fructose
EX_cpgn_e,0.0,0.0,Fructose
EX_glu__L_e,0.0,0.0,Fructose
EX_gly_e,0.0,0.0,Fructose
EX_glyald_e,0.0,0.0,Fructose
EX_glyb_e,0.0,0.0,Fructose
EX_glyc_e,0.0,0.0,Fructose
EX_12ppd__S_e,0.0,0.0,Fructose
EX_14glucan_e,0.0,0.0,Fructose
EX_cpgn_un_e,0.0,0.0,Fructose
EX_15dap_e,0.0,0.0,Fructose
EX_glyc__R_e,0.0,0.0,Fructose
EX_glyc2p_e,0.0,0.0,Fructose
EX_23camp_e,0.0,0.0,Fructose
EX_23ccmp_e,0.0,0.0,Fructose
EX_23cgmp_e,0.0,0.0,Fructose
EX_23cump_e,0.0,0.0,Fructose
EX_23dappa_e,0.0,0.0,Fructose
EX_26dap__M_e,0.0,0.0,Fructose
EX_glyc3p_e,0.0,0.0,Fructose
EX_glyclt_e,0.000163922267104474,0.00016392226747145844,Fructose
EX_gmp_e,0.0,0.0,Fructose
EX_gsn_e,0.0,0.0,Fructose
EX_gthox_e,0.0,0.0,Fructose
EX_gthrd_e,0.0,0.0,Fructose
EX_gtp_e,0.0,0.0,Fructose
EX_gua_e,0.0,0.0,Fructose
EX_h_e,27.90175148921417,526.9863820383623,Fructose
EX_h2_e,0.0,0.0,Fructose
EX_h2o_e,-1000.0,-1.8307389016954403,Fructose
EX_h2o2_e,0.0,0.0,Fructose
EX_h2s_e,0.0,499.08463054915103,Fructose
EX_hacolipa_e,0.0,0.0,Fructose
EX_halipa_e,0.0,0.0,Fructose
EX_hdca_e,0.0,0.0,Fructose
EX_hdcea_e,0.0,0.0,Fructose
EX_hg2_e,0.0,0.0,Fructose
EX_his__L_e,0.0,0.0,Fructose
EX_2ddglcn_e,0.0,0.0,Fructose
EX_34dhpac_e,0.0,0.0,Fructose
EX_3amp_e,0.0,0.0,Fructose
EX_3cmp_e,0.0,0.0,Fructose
EX_3gmp_e,0.0,0.0,Fructose
EX_3hcinnm_e,0.0,0.0,Fructose
EX_3hpp_e,0.0,0.0,Fructose
EX_3hpppn_e,0.0,0.0,Fructose
EX_hom__L_e,0.0,0.0,Fructose
EX_hxa_e,0.0,0.0,Fructose
EX_hxan_e,0.0,0.0,Fructose
EX_idon__L_e,0.0,0.0,Fructose
EX_3ump_e,0.0,0.0,Fructose
EX_4abut_e,0.0,0.0,Fructose
EX_4hoxpacd_e,0.0,0.0,Fructose
EX_5dglcn_e,0.0,0.0,Fructose
EX_5mtr_e,0.0,0.0,Fructose
EX_LalaDglu_e,0.0,0.0,Fructose
EX_ile__L_e,0.0,0.0,Fructose
EX_imp_e,0.0,0.0,Fructose
EX_indole_e,0.0,0.0,Fructose
EX_inost_e,0.0,0.0,Fructose
EX_ins_e,0.0,0.0,Fructose
EX_isetac_e,0.0,0.0,Fructose
EX_k_e,-0.04782732298874718,-0.04782732298874622,Fructose
EX_LalaDgluMdap_e,0.0,0.0,Fructose
EX_LalaDgluMdapDala_e,0.0,0.0,Fructose
EX_LalaLglu_e,0.0,0.0,Fructose
EX_kdo2lipid4_e,0.0,0.0,Fructose
EX_ac_e,8.120740611871168,507.2053711610256,Fructose
EX_crn_e,0.0,0.0,Fructose
EX_acac_e,0.0,0.0,Fructose
EX_acald_e,0.0,0.0,Fructose
EX_lac__D_e,0.0,0.0,Fructose
EX_lac__L_e,0.0,0.0,Fructose
EX_crn__D_e,0.0,0.0,Fructose
EX_lcts_e,0.0,0.0,Fructose
EX_acgal_e,0.0,0.0,Fructose
EX_acgal1p_e,0.0,0.0,Fructose
EX_acgam_e,0.0,0.0,Fructose
EX_leu__L_e,0.0,0.0,Fructose
EX_csn_e,0.0,0.0,Fructose
EX_acgam1p_e,0.0,0.0,Fructose
EX_acmana_e,0.0,0.0,Fructose
EX_acmum_e,0.0,0.0,Fructose
EX_lipa_e,0.0,0.0,Fructose
EX_cu_e,0.0,0.0,Fructose
EX_lipa_cold_e,0.0,0.0,Fructose
EX_acnam_e,0.0,0.0,Fructose
EX_acolipa_e,0.0,0.0,Fructose
EX_cu2_e,-0.00017372329949855733,-0.00017372329949855308,Fructose
EX_acser_e,0.0,0.0,Fructose
EX_ade_e,0.0,0.0,Fructose
EX_adn_e,0.0,0.0,Fructose
EX_adocbl_e,0.0,0.0,Fructose
EX_ag_e,0.0,0.0,Fructose
EX_lipoate_e,0.0,0.0,Fructose
EX_lys__L_e,0.0,0.0,Fructose
EX_lyx__L_e,0.0,0.0,Fructose
EX_mal__D_e,0.0,0.0,Fructose
EX_agm_e,0.0,0.0,Fructose
EX_akg_e,0.0,0.0,Fructose
EX_cyan_e,0.0,0.0,Fructose
EX_ala_B_e,0.0,0.0,Fructose
EX_ala__D_e,0.0,0.0,Fructose
EX_ala__L_e,0.0,0.0,Fructose
EX_alaala_e,0.0,0.0,Fructose
EX_all__D_e,0.0,0.0,Fructose
EX_alltn_e,0.0,0.0,Fructose
EX_amp_e,0.0,0.0,Fructose
EX_anhgm_e,0.0,0.0,Fructose
EX_arab__L_e,0.0,0.0,Fructose
EX_mal__L_e,0.0,0.0,Fructose
EX_malt_e,0.0,0.0,Fructose
EX_malthx_e,0.0,0.0,Fructose
EX_maltpt_e,0.0,0.0,Fructose
EX_malttr_e,0.0,0.0,Fructose
EX_maltttr_e,0.0,0.0,Fructose
EX_man_e,0.0,0.0,Fructose
EX_cynt_e,0.0,0.0,Fructose
EX_man6p_e,0.0,0.0,Fructose
EX_manglyc_e,0.0,0.0,Fructose
EX_melib_e,0.0,0.0,Fructose
EX_cys__D_e,0.0,0.0,Fructose
EX_meoh_e,0.0,0.0,Fructose
EX_met__D_e,0.0,0.0,Fructose
EX_arbt_e,0.0,0.0,Fructose
EX_arbtn_e,0.0,0.0,Fructose
EX_arbtn_fe3_e,0.0,0.0,Fructose
EX_met__L_e,0.0,0.0,Fructose
EX_cys__L_e,-499.14536558680044,-0.060735037650893955,Fructose
EX_metsox_R__L_e,0.0,0.0,Fructose
EX_metsox_S__L_e,0.0,0.0,Fructose
EX_mg2_e,-0.002125598904301819,-0.00212559890430176,Fructose
EX_mincyc_e,0.0,0.0,Fructose
EX_minohp_e,0.0,0.0,Fructose
EX_mmet_e,0.0,0.0,Fructose
EX_arg__L_e,0.0,0.0,Fructose
EX_ascb__L_e,0.0,0.0,Fructose
EX_asn__L_e,0.0,0.0,Fructose
EX_aso3_e,0.0,0.0,Fructose
EX_asp__L_e,0.0,0.0,Fructose
EX_btn_e,0.0,0.0,Fructose
EX_but_e,0.0,0.0,Fructose
EX_mn2_e,-0.0001693128349133843,-0.00016931283491325832,Fructose
EX_mnl_e,0.0,0.0,Fructose
EX_mobd_e,-3.1608329527973525e-05,-3.160832952794548e-05,Fructose
EX_mso3_e,0.0,0.0,Fructose
EX_n2o_e,0.0,0.0,Fructose
EX_na1_e,0.0,0.0,Fructose
EX_nac_e,0.0,0.0,Fructose
EX_nh4_e,-2.585745614815745,496.4988849343558,Fructose
EX_butso3_e,0.0,0.0,Fructose
EX_ca2_e,-0.0012753593425810631,-0.0012753593425810558,Fructose
EX_cbi_e,0.0,0.0,Fructose
EX_cytd_e,0.0,0.0,Fructose
EX_cbl1_e,0.0,0.0,Fructose
EX_cd2_e,0.0,0.0,Fructose
EX_cgly_e,0.0,0.0,Fructose
EX_ni2_e,-7.914333672501016e-05,-7.914333672501079e-05,Fructose
EX_nmn_e,0.0,0.0,Fructose
EX_no_e,0.0,0.0,Fructose
EX_no2_e,0.0,0.0,Fructose
EX_no3_e,0.0,0.0,Fructose
EX_novbcn_e,0.0,0.0,Fructose
EX_o16a4colipa_e,0.0,0.0,Fructose
EX_o2_e,0.0,0.0,Fructose
EX_o2s_e,0.0,0.0,Fructose
EX_ocdca_e,0.0,0.0,Fructose
EX_ocdcea_e,0.0,0.0,Fructose
EX_octa_e,0.0,0.0,Fructose
EX_orn_e,0.0,0.0,Fructose
EX_orot_e,0.0,0.0,Fructose
EX_pacald_e,0.0,0.0,Fructose
EX_peamn_e,0.0,0.0,Fructose
EX_phe__L_e,0.0,0.0,Fructose
EX_pheme_e,0.0,0.0,Fructose
EX_chol_e,0.0,0.0,Fructose
EX_chtbs_e,0.0,0.0,Fructose
EX_cit_e,0.0,0.0,Fructose
EX_cl_e,-0.001275359342581046,-0.001275359342581056,Fructose
EX_pi_e,-0.23635949240990198,-0.2363594924098026,Fructose
EX_dad_2_e,0.0,0.0,Fructose
EX_pnto__R_e,0.0,0.0,Fructose
EX_ppa_e,0.0,0.0,Fructose
EX_damp_e,0.0,0.0,Fructose
EX_ppal_e,0.0,0.0,Fructose
EX_dca_e,0.0,0.0,Fructose
EX_pppn_e,0.0,0.0,Fructose
EX_ppt_e,0.0,0.0,Fructose
EX_dcmp_e,0.0,0.0,Fructose
EX_pro__L_e,0.0,0.0,Fructose
EX_dcyt_e,0.0,0.0,Fructose
EX_progly_e,0.0,0.0,Fructose
EX_psclys_e,0.0,0.0,Fructose
EX_ddca_e,0.0,0.0,Fructose
EX_pser__L_e,0.0,0.0,Fructose
EX_ptrc_e,0.0,0.0,Fructose
EX_dgmp_e,0.0,0.0,Fructose
EX_dgsn_e,0.0,0.0,Fructose
EX_val__L_e,0.0,0.0,Fructose
EX_xan_e,0.0,0.0,Fructose
EX_dha_e,0.0,0.0,Fructose
EX_xmp_e,0.0,0.0,Fructose
EX_dimp_e,0.0,0.0,Fructose
EX_din_e,0.0,0.0,Fructose
EX_xtsn_e,0.0,0.0,Fructose
EX_pydam_e,0.0,0.0,Fructose
EX_xyl__D_e,0.0,0.0,Fructose
EX_xylu__L_e,0.0,0.0,Fructose
EX_zn2_e,-8.355380131030742e-05,-8.355380131030551e-05,Fructose
12DGR120tipp,0.0,0.0,Fructose
12DGR140tipp,0.0,0.0,Fructose
