index,minimum,maximum,Combination
BLACT,0.0,0.0,Fructose
VALTRS,0.0,0.0,Fructose
SERTRS,0.0,0.0,Fructose
UPP3S,0.0,0.0,Fructose
ALATRS,0.0,0.0,Fructose
GTHPi,0.0,0.0,Fructose
FMETTRS,0.0,0.0,Fructose
ASNTRS_1,0.0,0.0,Fructose
MALTATr,0.0,0.0,Fructose
TRPTRS,0.0,0.0,Fructose
OGMEACPR,0.0,0.0,Fructose
OPMEACPR,0.0,0.0,Fructose
GLYTRS,0.0,0.0,Fructose
S2FE2SR,0.0,0.0,Fructose
S2FE2SS,0.0,0.0,Fructose
S2FE2SS2,0.0,0.0,Fructose
S2FE2ST,0.0,0.0,Fructose
S4FE4SR,0.0,0.0,Fructose
S4FE4ST,0.0,0.0,Fructose
CYSTRS,0.0,0.0,Fructose
OCTDPS,0.0,0.0,Fructose
5DKGR,0.0,0.0,Fructose
TYRTRS,0.0,0.0,Fructose
HPPK2,0.0,0.0,Fructose
LEUTRS,0.0,0.0,Fructose
METTRS,0.0,0.0,Fructose
ARGTRS,0.0,0.0,Fructose
NADHPO,0.0,0.0,Fructose
GLUTRS,0.0,0.0,Fructose
MOAT,0.0,0.0,Fructose
DSBDR,0.0,0.0,Fructose
PAPSR,0.0,0.0,Fructose
R06895,0.0,0.0,Fructose
DHNPA2r,0.0,0.0,Fructose
RNDR1,0.0,0.0060561145357834545,Fructose
RNDR2,0.0,0.00610961370278609,Fructose
RNDR3,0.0,0.0,Fructose
RNDR4,0.0,0.009116863850210835,Fructose
LYSTRS,0.0,0.0,Fructose
MMM,0.0,0.0,Fructose
NP1,-1000.0,1000.0,Fructose
TDSK,0.0,0.0,Fructose
HISTRS,0.0,0.0,Fructose
PFOR,0.0,0.0,Fructose
PHETRS,0.0,0.0,Fructose
ALAD_L,0.0,0.0,Fructose
ACCOACr,0.0,1.6221760030898442,Fructose
PPCOAC,0.0,0.0,Fructose
PPCOAC_ppi,0.0,0.0,Fructose
PPCOAC2,0.0,0.0,Fructose
FLH,0.0,0.0,Fructose
PMEACPE,0.0,0.0,Fructose
R05712,0.0,0.0,Fructose
UGE,0.0,0.0,Fructose
GLNTRS,0.0,0.0,Fructose
ALAGLUE,0.0,0.0,Fructose
ATPS4r,-1000.0,-6.31764972850764,Fructose
CHCOAL,0.0,0.0,Fructose
FACOAL141,0.0,0.0,Fructose
FACOAL182,0.0,0.0,Fructose
GOFUCR,0.0,0.0,Fructose
MPTG,0.0,0.0,Fructose
MPTG2,0.0,0.0,Fructose
ENTERGLCT2,0.0,0.0,Fructose
PGGT2,0.0,0.0,Fructose
PTRCAT1,0.0,0.0,Fructose
PROTRS,0.0,0.0,Fructose
DHORD_NAD,0.05320334318979049,0.0532033431733518,Fructose
ASPTRS,0.0,0.0,Fructose
PSP_D,0.0,0.0,Fructose
ILETRS,0.0,0.0,Fructose
GBEZ,0.0,0.0,Fructose
THRA,0.0,1000.0,Fructose
THFAT,-1000.0,1000.0,Fructose
THRA2,0.0,0.0,Fructose
SERAT,0.0,0.0,Fructose
13PPDH2,0.0,0.0,Fructose
EGLUCe,0.0,0.0,Fructose
THRTRS,0.0,0.0,Fructose
AKGDH,-2.171094208139449,-2.1710942081491327,Fructose
ACM6PH,0.0,0.0,Fructose
KAS15,0.0,0.0,Fructose
ALAR,0.0,0.0,Fructose
ASPTA,-4.180343937623937,-1.222175800553742,Fructose
ASNS2,0.0916729627552959,0.0916729627633962,Fructose
ASNS1,0.0,0.0,Fructose
ARGSL,0.06381465574529249,0.06381465574522759,Fructose
ASPT,0.0,2.850570387623797,Fructose
ASNN,0.0,0.0,Fructose
OBTFL,0.0,0.0,Fructose
HEX4,0.0,0.0,Fructose
GLCS2,0.0,999.4077345654849,Fructose
LCARS,0.0,0.0,Fructose
RMPA,0.0,0.0,Fructose
RMI,0.0,0.0,Fructose
RMK,0.0,0.0,Fructose
RMK2,0.0,0.0,Fructose
GALM1r,0.0,0.0,Fructose
AMALT2,0.0,0.0,Fructose
AMALT4,0.0,0.0,Fructose
F1PGT,0.0,0.0,Fructose
FK,0.0,0.0,Fructose
BGLA,0.0,0.0,Fructose
HEX7,10.0,10.0,Fructose
FBA2,0.0,0.0,Fructose
PMANM,0.0,0.0,Fructose
MANAO,0.0,0.0,Fructose
G1PCT,0.0,0.0,Fructose
CDPGLC46DH,0.0,0.0,Fructose
FCLK,0.0,0.0,Fructose
FCLPA,0.0,0.0,Fructose
FCI,0.0,0.0,Fructose
GFUCS,0.0,0.0,Fructose
PFK_2,0.0,0.0,Fructose
TAGURr,0.0,0.0,Fructose
MAN1PT2r,0.0,0.0,Fructose
ALCD19,0.0,0.0,Fructose
RBK_L1,0.0,0.0,Fructose
GLYCOe,0.0,0.0,Fructose
LACZe,0.0,0.0,Fructose
TGBPA,0.0,0.0,Fructose
TREHe,0.0,0.0,Fructose
UGLT,0.0,0.0,Fructose
PPCSCT,0.0,999.4077345654935,Fructose
PPAKr,0.0,999.4077345655452,Fructose
ADNUC,0.0,0.0,Fructose
AMALT1,0.0,0.0,Fructose
AMALT3,0.0,0.0,Fructose
MNNH,0.0,0.0,Fructose
GLCP,0.0,999.4077345654894,Fructose
GUI1,0.0,0.0,Fructose
GUI2,0.0,0.0,Fructose
XYLI1,0.0,0.0,Fructose
UDPG4E,0.0,0.0,Fructose
ALTRH,0.0,0.0,Fructose
MAN6PI,0.0,0.0,Fructose
GALK,0.0,0.0,Fructose
RBP4E,0.0,0.0,Fructose
PGLYCP,0.0,0.0,Fructose
RMNt,0.0,0.0,Fructose
PTA2,0.0,999.4077345654425,Fructose
A5PISO,0.0,0.0,Fructose
GMAND,0.0,0.0,Fructose
XYLI2,0.0,0.0,Fructose
ARAI,0.0,0.0,Fructose
DRPAr,0.0,0.0,Fructose
AGDC,0.0,0.0,Fructose
G6PDA,0.0,0.0,Fructose
UAGDP,0.0,0.0,Fructose
ACGAMK,0.0,0.0,Fructose
HEX10,0.0,0.0,Fructose
UAGCVT_r,0.0,0.0,Fructose
UAG4E,0.0,0.0,Fructose
UAG2E,0.0,0.0,Fructose
GF6PTAr,0.0,0.0,Fructose
ACGAM2E,0.0,0.0,Fructose
AGDC2,0.0,0.0,Fructose
UAG2EMA,0.0,0.0,Fructose
ACGALK3,0.0,0.0,Fructose
ACGAMPM,0.0,0.0,Fructose
GALAM6PDA,0.0,0.0,Fructose
HEX11,0.0,0.0,Fructose
UAGDP2,0.0,0.0,Fructose
ARGSSr,0.06381465574529249,0.06381465574680034,Fructose
AGPR,-0.06381465575024795,-0.06381465574529249,Fructose
ORNTA,0.0,0.0,Fructose
G5SD,1.8495152911463686,1.8495152911721984,Fructose
SUCORNTC,0.06381465574529248,0.06381465574517678,Fructose
ACODA,0.06381465574529249,0.06381465574989802,Fructose
P5CD,0.0,0.0,Fructose
PROD2,2.1699735084746323,2.169973508470928,Fructose
PROD3,0.0,0.0,Fructose
PRO1x,0.0,2.8505703876225885,Fructose
EHGLAT,0.0,0.0,Fructose
AGMD,0.0,0.0,Fructose
P5CRyr,-6.870059187293132,-4.019488799658206,Fructose
ACGS,0.06381465574529248,0.06381465574459155,Fructose
G5SADs,1.8495152912117006,1.8495152911503285,Fructose
PHCHGS,0.0,0.0,Fructose
SUCCITRDSs,0.06381465574529249,0.06381465574406436,Fructose
MTAN,0.0,0.0,Fructose
ACOTA,-0.06381465571257784,-0.06381465574529246,Fructose
ACGK,0.06381465574529813,0.06381465574253029,Fructose
ARGN,0.0,0.0,Fructose
GLU5K,1.8495152911579602,1.8495152911640884,Fructose
ARGDC,0.0,0.0,Fructose
DDPGA,0.0,0.0,Fructose
CMLDC,0.0,0.0,Fructose
7AHSDH,0.0,0.0,Fructose
GCHOLAH,0.0,0.0,Fructose
TCHOLAH,0.0,0.0,Fructose
