index,minimum,maximum,Combination
EX_glc-D(e),0.0,0.0,Fructose
EX_xyl-D(e),0.0,0.0,Fructose
EX_gal(e),0.0,0.0,Fructose
EX_fru(e),-10.0,-10.0,Fructose
EX_man(e),0.0,0.0,Fructose
EX_malt(e),0.0,0.0,Fructose
EX_rib-D(e),0.0,0.0,Fructose
EX_arab-L(e),0.0,0.0,Fructose
EX_sucr(e),0.0,0.0,Fructose
EX_rmn(e),0.0,0.0,Fructose
EX_cellb(e),0.0,0.0,Fructose
EX_lcts(e),0.0,0.0,Fructose
EX_melib(e),0.0,0.0,Fructose
EX_raffin(e),0.0,0.0,Fructose
EX_malttr(e),0.0,0.0,Fructose
EX_malthx(e),0.0,0.0,Fructose
EX_lnb(e),0.0,0.0,Fructose
EX_gnb(e),0.0,0.0,Fructose
EX_nh4(e),-2.024563133744668,-2.024563133745008,Fructose
EX_pi(e),-0.14526319923560313,-0.14526319923553993,Fructose
EX_mg2(e),-0.0016440343919372808,-0.001644034391937171,Fructose
EX_na1(e),0.0,0.0,Fructose
EX_k(e),-0.036991300685141795,-0.03699130068513933,Fructose
EX_fe2(e),-0.0014796520274056725,-0.0014796520274055734,Fructose
EX_fe3(e),-0.0014796520274056037,-0.0014796520274055734,Fructose
EX_zn2(e),-0.0006575294581264042,-0.0006575294581263907,Fructose
EX_ni2(e),0.0,0.0,Fructose
EX_ca2(e),-0.0009865049338108004,-0.0009865049338107807,Fructose
EX_cd2(e),0.0,0.0,Fructose
EX_cu2(e),-0.0006575294581263969,-0.0006575294581263907,Fructose
EX_mn2(e),-0.0006575294581263969,-0.0006575294581263908,Fructose
EX_tungs(e),0.0,0.0,Fructose
EX_mobd(e),-0.0006575294581263969,-0.0006575294581263907,Fructose
EX_cobalt2(e),-0.0006575294581263969,-0.0006575294581263907,Fructose
EX_cl(e),-0.0009865049338107898,-0.0009865049338107807,Fructose
EX_ch4s(e),0.0,0.0,Fructose
EX_met-L(e),0.0,0.0,Fructose
EX_cys-L(e),-0.037806257869298254,-0.03780625786929792,Fructose
EX_leu-L(e),0.0,0.0,Fructose
EX_ile-L(e),0.0,0.0,Fructose
EX_val-L(e),0.0,0.0,Fructose
EX_his-L(e),0.0,0.0,Fructose
EX_thr-L(e),0.0,0.0,Fructose
EX_trp-L(e),0.0,0.0,Fructose
EX_phe-L(e),0.0,0.0,Fructose
EX_arg-L(e),0.0,0.0,Fructose
EX_tyr-L(e),0.0,0.0,Fructose
EX_lys-L(e),0.0,0.0,Fructose
EX_gly(e),0.0,0.0,Fructose
EX_ala-L(e),0.0,0.0,Fructose
EX_ser-L(e),0.0,0.0,Fructose
EX_pro-L(e),0.0,0.0,Fructose
EX_glu-L(e),0.0,0.0,Fructose
EX_gln-L(e),0.0,0.0,Fructose
EX_asp-L(e),0.0,0.0,Fructose
EX_asn-L(e),0.0,0.0,Fructose
EX_cgly(e),0.0,0.0,Fructose
