ID,Activity
PFK,1
PFL,0
PGI,3
PGK,2
PGL,1
ACALD,0
AKGt2r,0
PGM,2
PIt2r,1
ALCD2x,0
ACALDt,0
ACKr,4
PPC,1
ACONTa,1
ACONTb,1
ATPM,1
PPCK,0
ACt2r,4
PPS,0
ADK1,0
AKGDH,1
ATPS4r,1
PTAr,5
PYK,1
BIOMASS_Ecoli_core_w_GAM,1
PYRt2,5
CO2t,2
RPE,1
CS,1
RPI,2
SUCCt2_2,0
CYTBD,1
D_LACt2,0
ENO,1
SUCCt3,0
ETOHt2r,0
SUCDi,1
SUCOAS,2
TALA,1
THD2,0
TKT1,1
TKT2,1
TPI,1
EX_ac_e,0
EX_acald_e,0
EX_akg_e,0
EX_co2_e,1
EX_etoh_e,0
EX_for_e,0
EX_fru_e,5
EX_fum_e,0
EX_glc__D_e,5
EX_gln__L_e,0
EX_glu__L_e,0
EX_h_e,1
EX_h2o_e,1
EX_lac__D_e,0
EX_mal__L_e,0
EX_nh4_e,2
EX_o2_e,2
EX_pi_e,2
EX_pyr_e,0
EX_succ_e,0
FBA,1
FBP,0
FORt2,0
FORt,0
FRD7,0
FRUpts2,4
FUM,1
FUMt2_2,0
G6PDH2r,1
GAPD,1
GLCpts,4
GLNS,1
GLNabc,5
GLUDy,2
GLUN,0
GLUSy,0
GLUt2r,0
GND,1
H2Ot,2
ICDHyr,1
ICL,0
LDH_D,5
MALS,0
MALt2_2,0
MDH,1
ME1,0
ME2,0
NADH16,1
NADTRHD,0
NH4t,1
O2t,1
PDH,1
