,Model,Carbon_Source,Objective_Value
0,copy2,EX_glc__D_e_reversed,27.754581917225803
1,copy2,EX_fru_e_reversed,27.754581917225796
2,copy2,EX_sucr_e_reversed,52.00747695375577
3,copy2,EX_arab__L_e_reversed,20.568538943439094
4,copy2,EX_mnl_e_reversed,24.149381896840357
0,model_copy2,EX_glc__D_e_reversed,27.754581917225273
1,model_copy2,EX_fru_e_reversed,27.754581917226048
2,model_copy2,EX_sucr_e_reversed,52.00747695375647
3,model_copy2,EX_arab__L_e_reversed,20.568538943440444
4,model_copy2,EX_mnl_e_reversed,24.149381896840705
