,ID,Name,Lower_FB,Upper_FB,Active_in_FBA,Include
15,EX_12ppd__R_e,"(R)-Propane-1,2-diol exchange",0,999999,FALSE,FALSE
21,EX_12ppd__S_e,"(S)-Propane-1,2-diol exchange",0,999999,FALSE,FALSE
22,EX_14glucan_e,"1,4-alpha-D-glucan exchange",0,999999,FALSE,FALSE
23,EX_15dap_e,"1,5-Diaminopentane exchange",0,999999,FALSE,FALSE
24,EX_23camp_e,"2',3'-Cyclic AMP exchange",0,999999,FALSE,FALSE
26,EX_23ccmp_e,"2',3'-Cyclic CMP exchange",0,999999,FALSE,FALSE
31,EX_23cgmp_e,"2',3'-Cyclic GMP exchange",0,999999,FALSE,FALSE
32,EX_23cump_e,"2',3'-Cyclic UMP exchange",0,999999,FALSE,FALSE
36,EX_23dappa_e,"2,3-diaminopropionate exchange",0,999999,FALSE,FALSE
37,EX_26dap__M_e,"Meso-2,6-Diaminoheptanedioate exchange",0,999999,FALSE,FALSE
40,EX_2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate exchange,0,999999,FALSE,FALSE
42,EX_34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde exchange",0,999999,FALSE,FALSE
43,EX_3amp_e,3'-AMP exchange,0,999999,FALSE,FALSE
44,EX_3cmp_e,3'-cmp exchange,0,999999,FALSE,FALSE
50,EX_3gmp_e,3'-GMP exchange,0,999999,FALSE,FALSE
51,EX_3hcinnm_e,3-hydroxycinnamic acid exchange,0,999999,FALSE,FALSE
52,EX_3hpppn_e,3-(3-hydroxy-phenyl)propionate exchange,0,999999,FALSE,FALSE
53,EX_3ump_e,3'-UMP exchange,0,999999,FALSE,FALSE
57,EX_4abut_e,4-Aminobutanoate exchange,0,999999,FALSE,FALSE
58,EX_4hoxpacd_e,4-Hydroxyphenylacetaldehyde exchange,0,999999,FALSE,FALSE
60,EX_5dglcn_e,5-Dehydro-D-gluconate exchange,0,999999,FALSE,FALSE
67,EX_ac_e,Acetate exchange,0,999999,FALSE,TRUE
68,EX_acac_e,Acetoacetate exchange,0,999999,FALSE,FALSE
69,EX_acald_e,Acetaldehyde exchange,0,999999,FALSE,FALSE
75,EX_acgal_e,N-Acetyl-D-galactosamine exchange,0,999999,FALSE,FALSE
74,EX_acgal1p_e,N-Acetyl-D-galactosamine 1-phosphate exchange,0,999999,FALSE,FALSE
79,EX_acgam_e,N-Acetyl-D-glucosamine exchange,0,999999,FALSE,FALSE
77,EX_acgam1p_e,N-Acetyl-D-glucosamine 1-phosphate exchange,0,999999,FALSE,FALSE
80,EX_acmana_e,N-Acetyl-D-mannosamine exchange,0,999999,FALSE,FALSE
84,EX_acmum_e,N-Acetylmuramate exchange,0,999999,FALSE,FALSE
85,EX_acnam_e,N-Acetylneuraminate exchange,0,999999,FALSE,FALSE
86,EX_acolipa_e,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A exchange,0,999999,FALSE,FALSE
0,EX_acser_e,O-Acetyl-L-serine exchange,0,999999,FALSE,FALSE
1,EX_ade_e,Adenine exchange,0,999999,FALSE,FALSE
3,EX_adn_e,Adenosine exchange,0,999999,FALSE,FALSE
4,EX_adocbl_e,Adenosylcobalamin exchange,0,999999,FALSE,FALSE
5,EX_ag_e,Silver exchange,0,999999,FALSE,FALSE
6,EX_agm_e,Agmatine exchange,0,999999,FALSE,FALSE
8,EX_akg_e,2-Oxoglutarate exchange,0,999999,FALSE,FALSE
10,EX_ala__D_e,D-Alanine exchange,0,999999,FALSE,FALSE
11,EX_ala__L_e,L-Alanine exchange,0,999999,FALSE,FALSE
9,EX_ala_B_e,Beta-Alanine exchange,0,999999,FALSE,FALSE
12,EX_alaala_e,D-Alanyl-D-alanine exchange,0,999999,FALSE,FALSE
13,EX_all__D_e,D-Allose exchange,0,999999,FALSE,FALSE
14,EX_alltn_e,Allantoin exchange,0,999999,FALSE,FALSE
16,EX_amp_e,AMP exchange,0,999999,FALSE,FALSE
18,EX_anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange,0,999999,FALSE,FALSE
19,EX_arab__L_e,L-Arabinose exchange,0,999999,FALSE,TRUE
20,EX_arbtn_e,Aerobactin minus Fe3 exchange,0,999999,FALSE,FALSE
25,EX_arbtn_fe3_e,Aerobactin exchange,0,999999,FALSE,FALSE
27,EX_arg__L_e,L-Arginine exchange,0,999999,FALSE,FALSE
29,EX_ascb__L_e,L-Ascorbate exchange,0,999999,FALSE,FALSE
30,EX_asn__L_e,L-Asparagine exchange,0,999999,FALSE,FALSE
33,EX_aso3_e,Arsenite exchange,0,999999,FALSE,FALSE
35,EX_asp__L_e,L-Aspartate exchange,0,999999,FALSE,FALSE
38,EX_but_e,Butyrate (n-C4:0) exchange,0,999999,FALSE,FALSE
39,EX_butso3_e,Butanesulfonate exchange,0,999999,FALSE,FALSE
45,EX_ca2_e,Calcium exchange,-999999,999999,TRUE,TRUE
46,EX_cbi_e,Cobinamide exchange,0,999999,FALSE,FALSE
47,EX_cbl1_e,Cob(I)alamin exchange,-0.01,999999,FALSE,FALSE
48,EX_cd2_e,Cadmium exchange,0,999999,FALSE,FALSE
49,EX_cgly_e,Cys-Gly exchange,0,999999,FALSE,FALSE
54,EX_chol_e,Choline exchange,0,999999,FALSE,FALSE
55,EX_cit_e,Citrate exchange,0,999999,FALSE,FALSE
56,EX_cl_e,Chloride exchange,-999999,999999,TRUE,TRUE
62,EX_cmp_e,CMP exchange,0,999999,FALSE,FALSE
63,EX_co2_e,CO2 exchange,-999999,999999,TRUE,TRUE
64,EX_cobalt2_e,Co2+ exchange,-999999,999999,TRUE,TRUE
70,EX_colipa_e,Core oligosaccharide lipid A exchange,0,999999,FALSE,FALSE
71,EX_cpgn_e,Coprogen exchange,0,999999,FALSE,FALSE
72,EX_cpgn_un_e,Coprogen unloaded (no Fe(III)) exchange,0,999999,FALSE,FALSE
73,EX_crn_e,L-Carnitine exchange,0,999999,FALSE,FALSE
76,EX_csn_e,Cytosine exchange,0,999999,FALSE,FALSE
82,EX_cu_e,Cu+ exchange,0,999999,FALSE,FALSE
81,EX_cu2_e,Cu2+ exchange,-999999,999999,TRUE,TRUE
83,EX_cyan_e,Hydrogen cyanide exchange,0,999999,FALSE,FALSE
87,EX_cynt_e,Cyanate exchange,0,999999,FALSE,FALSE
88,EX_cys__D_e,D-Cysteine exchange,0,999999,FALSE,FALSE
89,EX_cys__L_e,L-Cysteine exchange,0,999999,FALSE,FALSE
91,EX_cytd_e,Cytidine exchange,0,999999,FALSE,FALSE
92,EX_dad_2_e,Deoxyadenosine exchange,0,999999,FALSE,FALSE
93,EX_damp_e,DAMP exchange,0,999999,FALSE,FALSE
98,EX_dca_e,Decanoate (n-C10:0) exchange,0,999999,FALSE,FALSE
99,EX_dcmp_e,DCMP exchange,0,999999,FALSE,FALSE
100,EX_dcyt_e,Deoxycytidine exchange,0,999999,FALSE,FALSE
102,EX_ddca_e,Dodecanoate (n-C12:0) exchange,0,999999,FALSE,FALSE
107,EX_dgmp_e,DGMP exchange,0,999999,FALSE,FALSE
108,EX_dgsn_e,Deoxyguanosine exchange,0,999999,FALSE,FALSE
112,EX_dha_e,Dihydroxyacetone exchange,0,999999,FALSE,FALSE
113,EX_dimp_e,DIMP exchange,0,999999,FALSE,FALSE
115,EX_din_e,Deoxyinosine exchange,0,999999,FALSE,FALSE
120,EX_dms_e,Dimethyl sulfide exchange,0,999999,FALSE,FALSE
121,EX_dmso_e,Dimethyl sulfoxide exchange,0,999999,FALSE,FALSE
122,EX_dopa_e,Dopamine exchange,0,999999,FALSE,FALSE
123,EX_dtmp_e,DTMP exchange,0,999999,FALSE,FALSE
124,EX_dump_e,DUMP exchange,0,999999,FALSE,FALSE
125,EX_duri_e,Deoxyuridine exchange,0,999999,FALSE,FALSE
126,EX_eca4colipa_e,(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange,0,999999,FALSE,FALSE
127,EX_enlipa_e,Phosphoethanolamine KDO(2)-lipid (A) exchange,0,999999,FALSE,FALSE
134,EX_enter_e,Enterochelin exchange,0,999999,FALSE,FALSE
135,EX_etha_e,Ethanolamine exchange,0,999999,FALSE,FALSE
138,EX_ethso3_e,Ethanesulfonate exchange,0,999999,FALSE,FALSE
140,EX_etoh_e,Ethanol exchange,0,999999,FALSE,TRUE
141,EX_f6p_e,D-fructose 6-phosphate exchange,0,999999,FALSE,FALSE
142,EX_fald_e,Formaldehyde exchange,0,999999,FALSE,FALSE
147,EX_fe2_e,Fe2+ exchange,-999999,999999,TRUE,TRUE
149,EX_fe3_e,Fe3+ exchange,-999999,999999,TRUE,TRUE
154,EX_fe3dcit_e,Fe(III)dicitrate exchange,0,999999,FALSE,FALSE
155,EX_fe3dhbzs_e,"Ferric 2,3-dihydroxybenzoylserine exchange",0,999999,FALSE,FALSE
156,EX_fe3hox_e,Fe(III)hydroxamate exchange,0,999999,FALSE,FALSE
157,EX_fe3hox_un_e,"Fe(III)hydoxamate, unloaded exchange",0,999999,FALSE,FALSE
159,EX_fecrm_e,Ferrichrome exchange,0,999999,FALSE,FALSE
164,EX_fecrm_un_e,Ferrichrome minus Fe(III) exchange,0,999999,FALSE,FALSE
165,EX_feenter_e,Fe-enterobactin exchange,0,999999,FALSE,FALSE
166,EX_feoxam_e,Ferroxamine exchange,0,999999,FALSE,FALSE
2,EX_feoxam_un_e,Ferroxamine minus Fe(3) exchange,0,999999,FALSE,FALSE
7,EX_for_e,Formate exchange,0,999999,FALSE,TRUE
17,EX_fru_e,D-Fructose exchange,0,999999,FALSE,TRUE
28,EX_frulys_e,Fructoselysine exchange,0,999999,FALSE,FALSE
34,EX_fruur_e,D-Fructuronate exchange,0,999999,FALSE,FALSE
41,EX_fuc__L_e,L-Fucose exchange,0,999999,FALSE,FALSE
59,EX_fum_e,Fumarate exchange,0,999999,FALSE,FALSE
66,EX_g1p_e,D-Glucose 1-phosphate exchange,0,999999,FALSE,FALSE
78,EX_g3pc_e,Sn-Glycero-3-phosphocholine exchange,0,999999,FALSE,FALSE
90,EX_g3pe_e,Sn-Glycero-3-phosphoethanolamine exchange,0,999999,FALSE,FALSE
95,EX_g3pg_e,Glycerophosphoglycerol exchange,0,999999,FALSE,FALSE
104,EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol exchange,0,999999,FALSE,FALSE
110,EX_g3ps_e,Glycerophosphoserine exchange,0,999999,FALSE,FALSE
117,EX_g6p_e,D-Glucose 6-phosphate exchange,0,999999,FALSE,FALSE
168,EX_gal_bD_e,Beta D-Galactose exchange,0,999999,FALSE,FALSE
151,EX_gal_e,D-Galactose exchange,0,999999,FALSE,FALSE
139,EX_gal1p_e,Alpha-D-Galactose 1-phosphate exchange,0,999999,FALSE,FALSE
174,EX_galct__D_e,D-Galactarate exchange,0,999999,FALSE,FALSE
179,EX_galctn__D_e,D-Galactonate exchange,0,999999,FALSE,FALSE
187,EX_galctn__L_e,L-Galactonate exchange,0,999999,FALSE,FALSE
194,EX_galt_e,Galactitol exchange,0,999999,FALSE,FALSE
211,EX_galur_e,D-Galacturonate exchange,0,999999,FALSE,FALSE
226,EX_gam_e,D-Glucosamine exchange,0,999999,FALSE,FALSE
220,EX_gam6p_e,D-Glucosamine 6-phosphate exchange,0,999999,FALSE,FALSE
236,EX_gbbtn_e,Gamma-butyrobetaine exchange,0,999999,FALSE,FALSE
