iAF1260_BIGG,Subsystem,name,reaction_string
DM_aacald_c,S_,Sink needed to allow aminoacetaldehyde to leave system,aacald_c <-> 
12DGR120tipp,S_Transport__Inner_Membrane,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",12dgr120_p <-> 12dgr120_c
12DGR140tipp,S_Transport__Inner_Membrane,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",12dgr140_p <-> 12dgr140_c
12DGR161tipp,S_Transport__Inner_Membrane,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",12dgr161_p <-> 12dgr161_c
12DGR180tipp,S_Transport__Inner_Membrane,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",12dgr180_p <-> 12dgr180_c
12DGR181tipp,S_Transport__Inner_Membrane,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",12dgr181_p <-> 12dgr181_c
12PPDStex,S_Transport__Outer_Membrane_Porin,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",12ppd__S_e <-> 12ppd__S_p
14GLUCANabcpp,S_Transport__Inner_Membrane,"1,4-alpha-D-glucan transport via ABC system (periplasm)",atp_c + h2o_c + 14glucan_p <-> 14glucan_c + adp_c + h_c + pi_c
23CCMPtex,S_Transport__Outer_Membrane_Porin,23cCMP transport via diffusion (extracellular to periplasm),23ccmp_e <-> 23ccmp_p
23CGMPtex,S_Transport__Outer_Membrane_Porin,23cGMP transport via diffusion (extracellular to periplasm),23cgmp_e <-> 23cgmp_p
23PDE2pp,S_Nucleotide_Salvage_Pathway,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",23cump_p + h2o_p <-> 3ump_p + h_p
23PDE9pp,S_Nucleotide_Salvage_Pathway,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",23cgmp_p + h2o_p <-> 3gmp_p + h_p
2AGPA120tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),2ddecg3p_p <-> 2ddecg3p_c
2AGPA140tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),2tdecg3p_p <-> 2tdecg3p_c
2AGPA180tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),2odecg3p_p <-> 2odecg3p_c
2AGPA181tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),2odec11eg3p_p <-> 2odec11eg3p_c
2AGPE140tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),2agpe140_p <-> 2agpe140_c
2AGPE141tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),2agpe141_p <-> 2agpe141_c
2AGPEAT141,S_Glycerophospholipid_Metabolism,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),2agpe141_c + atp_c + ttdcea_c <-> amp_c + pe141_c + ppi_c
2AGPG160tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2agpg160_p <-> 2agpg160_c
2AGPG161tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),2agpg161_p <-> 2agpg161_c
2AGPG180tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),2agpg180_p <-> 2agpg180_c
2AGPG181tipp,S_Transport__Inner_Membrane,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),2agpg181_p <-> 2agpg181_c
2AGPGAT120,S_Glycerophospholipid_Metabolism,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),2agpg120_c + atp_c + ddca_c <-> amp_c + pg120_c + ppi_c
2AGPGAT141,S_Glycerophospholipid_Metabolism,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),2agpg141_c + atp_c + ttdcea_c <-> amp_c + pg141_c + ppi_c
2AGPGAT160,S_Glycerophospholipid_Metabolism,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),2agpg160_c + atp_c + hdca_c <-> amp_c + pg160_c + ppi_c
2AGPGAT180,S_Glycerophospholipid_Metabolism,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),2agpg180_c + atp_c + ocdca_c <-> amp_c + pg180_c + ppi_c
2DGULRx,S_Alternate_Carbon_Metabolism,2-dehydro-L-gulonate reductase (NADH),2dhguln_c + h_c + nadh_c <-> idon__L_c + nad_c
2MAHMP,S_Cofactor_and_Prosthetic_Group_Biosynthesis,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,2mahmp_c + h2o_c <-> 4ampm_c + h_c + pi_c
3AMPtex,S_Transport__Outer_Membrane_Porin,3AMP transport via diffusion (extracellular to periplasm),3amp_e <-> 3amp_p
3GMPtex,S_Transport__Outer_Membrane_Porin,3GMP transport via diffusion (extracellular to periplasm),3gmp_e <-> 3gmp_p
3HAD121,S_Cell_Envelope_Biosynthesis,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),3hcddec5eACP_c <-> h2o_c + t3c5ddeceACP_c
3HAD160,S_Cell_Envelope_Biosynthesis,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_c <-> h2o_c + tpalm2eACP_c
3HAD161,S_Cell_Envelope_Biosynthesis,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),3hcpalm9eACP_c <-> h2o_c + t3c9palmeACP_c
3HAD180,S_Cell_Envelope_Biosynthesis,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),3hoctaACP_c <-> h2o_c + toctd2eACP_c
3HAD80,S_Cell_Envelope_Biosynthesis,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_c <-> h2o_c + toct2eACP_c
3KGK,S_Alternate_Carbon_Metabolism,3-keto-L-gulonate kinase,3dhguln_c + atp_c <-> 3dhgulnp_c + adp_c + h_c
3NTD2pp,S_Nucleotide_Salvage_Pathway,3'-nucleotidase (UMP) (periplasm),3ump_p + h2o_p <-> pi_p + uri_p
3NTD9pp,S_Nucleotide_Salvage_Pathway,3'-nucleotidase (GMP) (periplasm),3gmp_p + h2o_p <-> gsn_p + pi_p
3OAR120,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),3oddecACP_c + h_c + nadph_c <-> 3hddecACP_c + nadp_c
3OAR121,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),3ocddec5eACP_c + h_c + nadph_c <-> 3hcddec5eACP_c + nadp_c
3OAR141,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),3ocmrs7eACP_c + h_c + nadph_c <-> 3hcmrs7eACP_c + nadp_c
3OAR160,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),3opalmACP_c + h_c + nadph_c <-> 3hpalmACP_c + nadp_c
3OAR161,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),3ocpalm9eACP_c + h_c + nadph_c <-> 3hcpalm9eACP_c + nadp_c
3OAR180,S_Cell_Envelope_Biosynthesis,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),3ooctdACP_c + h_c + nadph_c <-> 3hoctaACP_c + nadp_c
