ID,Activity
BLACT,0
VALTRS,0
SERTRS,0
UPP3S,0
ALATRS,0
GTHPi,0
FMETTRS,0
ASNTRS_1,0
MALTATr,0
TRPTRS,0
OGMEACPR,0
OPMEACPR,0
GLYTRS,0
S2FE2SR,0
S2FE2SS,0
S2FE2SS2,0
S2FE2ST,0
S4FE4SR,0
S4FE4ST,0
CYSTRS,0
OCTDPS,0
5DKGR,0
TYRTRS,0
HPPK2,0
LEUTRS,0
METTRS,0
ARGTRS,0
NADHPO,0
GLUTRS,0
MOAT,0
DSBDR,0
PAPSR,0
R06895,0
DHNPA2r,0
RNDR1,4
RNDR2,4
RNDR3,0
RNDR4,4
LYSTRS,0
MMM,0
NP1,0
TDSK,0
HISTRS,0
PFOR,0
PHETRS,0
ALAD_L,0
ACCOACr,4
PPCOAC,0
PPCOAC_ppi,0
PPCOAC2,0
FLH,0
PMEACPE,0
R05712,0
UGE,0
GLNTRS,0
ALAGLUE,0
ATPS4r,2
CHCOAL,0
FACOAL141,0
FACOAL182,0
GOFUCR,0
MPTG,0
MPTG2,0
ENTERGLCT2,0
PGGT2,0
PTRCAT1,0
PROTRS,0
DHORD_NAD,1
ASPTRS,0
PSP_D,0
ILETRS,0
GBEZ,0
THRA,4
THFAT,0
THRA2,0
SERAT,0
13PPDH2,0
EGLUCe,0
THRTRS,0
AKGDH,2
ACM6PH,0
KAS15,0
ALAR,0
ASPTA,2
ASNS2,1
ASNS1,0
ARGSL,1
ASPT,0
ASNN,0
OBTFL,0
HEX4,0
GLCS2,0
LCARS,0
RMPA,0
RMI,0
RMK,0
RMK2,0
GALM1r,0
AMALT2,0
AMALT4,4
F1PGT,0
FK,0
BGLA,0
HEX7,4
FBA2,0
PMANM,0
MANAO,0
G1PCT,0
CDPGLC46DH,0
FCLK,0
FCLPA,0
FCI,0
GFUCS,0
PFK_2,0
TAGURr,0
MAN1PT2r,0
ALCD19,0
RBK_L1,0
GLYCOe,0
LACZe,4
TGBPA,0
TREHe,0
UGLT,4
PPCSCT,4
PPAKr,0
ADNUC,0
AMALT1,0
AMALT3,0
MNNH,0
GLCP,0
GUI1,0
GUI2,0
XYLI1,0
UDPG4E,5
ALTRH,0
MAN6PI,0
GALK,4
RBP4E,0
PGLYCP,0
RMNt,0
PTA2,0
A5PISO,0
GMAND,0
XYLI2,0
ARAI,0
DRPAr,0
AGDC,0
G6PDA,0
