ID,Activity
EX_glc-D(e),5
EX_xyl-D(e),0
EX_gal(e),5
EX_fru(e),5
EX_man(e),0
EX_malt(e),5
EX_rib-D(e),0
EX_arab-L(e),0
EX_sucr(e),5
EX_rmn(e),0
EX_cellb(e),0
EX_lcts(e),5
EX_melib(e),0
EX_raffin(e),0
EX_malttr(e),0
EX_malthx(e),0
EX_lnb(e),0
EX_gnb(e),0
EX_nh4(e),2
EX_pi(e),2
EX_mg2(e),2
EX_na1(e),0
EX_k(e),2
EX_fe2(e),2
EX_fe3(e),2
EX_zn2(e),2
EX_ni2(e),0
EX_ca2(e),2
EX_cd2(e),0
EX_cu2(e),2
EX_mn2(e),2
EX_tungs(e),0
EX_mobd(e),2
EX_cobalt2(e),2
EX_cl(e),2
EX_ch4s(e),0
EX_met-L(e),0
EX_cys-L(e),2
EX_leu-L(e),0
EX_ile-L(e),0
EX_val-L(e),0
EX_his-L(e),0
EX_thr-L(e),0
EX_trp-L(e),0
EX_phe-L(e),0
EX_arg-L(e),0
EX_tyr-L(e),0
EX_lys-L(e),0
EX_gly(e),0
EX_ala-L(e),0
EX_ser-L(e),0
EX_pro-L(e),0
EX_glu-L(e),0
EX_gln-L(e),0
EX_asp-L(e),0
EX_asn-L(e),0
EX_cgly(e),0
EX_metsox-S-L(e),0
EX_skm(e),0
EX_ptrc(e),0
EX_spmd(e),0
EX_thm(e),2
EX_btn(e),0
EX_4abz(e),0
EX_ptt(e),2
EX_ribflv(e),2
EX_ncam(e),0
EX_nac(e),0
EX_fol(e),2
EX_cbl1(e),2
EX_mqn4(e),2
EX_so4(e),0
EX_h2o(e),1
EX_h(e),1
EX_h2(e),0
EX_h2s(e),0
EX_co2(e),1
EX_ac(e),1
EX_etoh(e),1
EX_acald(e),0
EX_lac-L(e),0
EX_succ(e),1
EX_pyr(e),0
EX_h2o2(e),0
EX_for(e),1
EX_ura(e),0
EX_xan(e),0
EX_hxan(e),0
ASNTRAT,1
ALATRS,1
ASPT,0
ALATA_L,2
ALAR,1
ASPTRS(Asn),1
ASPTA,2
CBPS,1
P5CR,0
P5CRx,1
ARGSL,1
PROTRS,1
ARGSS,1
ACGS,0
OCBT,1
ACOTA,2
G5SD,1
MTAN,0
GLU5K,1
ARGTRS,1
G5SADr,1
SPMS,0
EHGLAT,0
ASPK,1
THRS,0
SERD_L,0
THRAL,0
HSDx,0
HSK,0
PGCD,1
PSERT,1
ASAD,2
THRAr,1
PSP_L,1
GCCc,0
GLYCK,1
AMPTASECG,0
CYSDS,0
CGS,0
AHSERL,0
CYSTRS,1
CYSTS,0
CYSTGLr,2
CYSTL,1
IG3PS,1
HISTRS,1
HISTD,1
HSTPT,1
IGPDH,1
PRMICI,1
PRAMPC,1
PRATPP,1
ATPPRT,1
HISTP,1
HISDr,0
DHDPS,1
DHDPRy,1
LYSTRS,1
THDPS,1
DAPE,1
SDPTA,2
DAPDC,1
SDPDS,1
METGL,0
MHPGLUT,1
MTHFR_new,1
SHSL2r,0
AHCYSNS,0
METSOXR1,0
METAT,1
HSST,0
RHCCE,0
ACONIs,0
ACONMT,0
DNAMTn2r,0
DHPTDCs2,0
MTHTHFSs,0
AhCi,1
AHSERL2,0
GHMT2,1
METS,0
PPND,1
PSCVTi,1
SHK3D,1
PRAI,1
TRPTRS,1
TRPS2,4
TRPS1,4
TRPS3,4
CHORM,1
TYRTA,2
PHETA1,2
ANS,0
DDPA,1
IGPS,1
TYRTRS,1
CHORS,1
DHQS,1
SHKK,1
PPNDH,1
ANPRT,1
ANS2,1
DHQD,1
ACGK,1
ORNTAC,1
AGPR,2
ILETA,2
LEUTA,2
ACHBS,1
ACLS,1
DHAD2,1
LEUTRS,1
VALTRS,1
KARA2,1
ILETRS,1
PDHcr,0
DHAD1,1
KARA1,2
IPPS,1
IPPMIb,2
IPPMIa,2
THRD_L,1
VALTA,2
IPMD,1
OMCDC,1
OIVD2,1
GLUTRS,1
THRTRS,1
GLYTRS,1
SERTRS,1
ASPTRS,1
METTRS,1
PHETRS,1
GLYALDDr,1
ALDD2x,0
PGM,2
PYK,1
PGK,2
HEX7,4
GAPD,1
ENO,1
FBA,0
GLUK_syn,0
HEX1,4
GALM1,0
TPI,2
PGI,4
G6PI,4
G6PI3,4
PPGKr,0
G6PBDH,0
PRPPS,1
RBI,1
TALA,2
G6PDH2,1
PGL,1
RBK,1
DRBK,0
GND,1
RPE,1
FBA3,0
GNK,0
F6PPK,1
PK,1
TKT1,2
TKT2,0
ICDHy,1
FRD2,0
FRD,0
FRD3,0
FRD7,0
SUCOAS,1
ACONTa,1
ACONTb,1
CS,1
AKGDH,0
PFL,1
ALCD2x,2
PTAr,3
ACKr,2
ACALD,2
PPC,1
LDH_L,0
LCARR,0
LCARS,0
13BGHe,0
AAMYL,0
GLCP2,0
GLCP,0
GLDBRAN2,0
GLCS1,0
GLBRAN2,0
MALT,4
IMALT,0
GLGC,0
SUCPHOS,4
BGLA,0
SUCR,0
GLUDy,2
GLNS,1
GLUSy,0
GLNTRAT,1
GLUTRS(Gln),1
NADS2,0
GF6PTA,1
GLUCYS,0
RAFH,0
GALK,4
RAFGH,0
GALS--,0
GALS3,0
LACZ,4
GALU,4
GALT,4
LNBP_new,0
GNBP_new,0
ACGALK,0
ACGALK_new,0
UDPG4E,3
UAG4E,0
UGLT,4
UGLT_new,0
G6PDA,0
AGDC,0
ACGAMPM,0
AMALT1,0
AMALT2,0
AMALT4,0
ALCD19,2
PTA2,0
OBTFL,0
PPAKr,0
XYLI2,6
XYLI1,0
XYLK,0
PGMT,3
PPM,0
PPM2,0
FBA2,0
ARAI,0
RBP4E,0
RBK_L1,0
RBK_Dr,0
ARABR,0
FFSD,0
PGLYCP,0
G3PD2,0
MICITD,0
UAGCVT,1
UAPGR,1
UAMAS,1
UAMAGS,1
UAAGOS,1
UGODDS,1
PAPPT2_new,1
UAGPT2_new,1
ALAALAr,1
tempname_new,1
PPTGS_BL,1
UDCPDP,1
FACOAL140,0
FACOAL140_iso,0
FACOAL160,0
FACOAL161,0
FACOAL180,0
FACOAL181,0
FACOAL182,0
FACOAE140,0
FACOAE141,0
FACOAE160,0
FACOAE161,0
FACOAE180,0
FACOAE181,0
FACOAE182,0
CHTBNASE,0
PGAMTi,1
GLUR,2
G1PACT,1
UAGDP,1
BACCL,0
ACPS1,0
ACGAMT,0
ACOATA,0
ACCOAC,1
MCOATA,1
KAS14,0
KAS15,1
3OAS60,1
3OAS80,1
3OAS100,1
3OAS120,1
T2DECAI,1
3OAS121,1
3OAS140,1
3OAS141,1
3OAS160,1
3OAS161,1
3OAS180,1
3OAS181,1
3OAR40,1
3OAR60,1
3OAR80,1
3OAR100,1
3OAR120,1
3OAR121,1
3OAR140,1
3OAR141,1
3OAR160,1
3OAR161,1
3OAR180,1
3OAR181,1
3HAD40,1
3HAD60,1
3HAD80,1
3HAD100,1
3HAD120,1
3HAD121,1
3HAD140,1
3HAD141,1
3HAD160,1
3HAD161,1
3HAD180,1
3HAD181,1
EAR40x,1
EAR40y,0
EAR60x,1
EAR60y,0
EAR80x,1
EAR80y,0
EAR100x,1
EAR100y,0
EAR120x,1
EAR120y,0
EAR121x,1
EAR121y,0
EAR140x,1
EAR140y,0
EAR141x,1
EAR141y,0
EAR160x,1
EAR160y,0
EAR161x,1
EAR161y,0
EAR180x,1
EAR180y,0
EAR181x,1
EAR181y,0
KAS1,1
FAS182ACP_BIF,1
AACPS_fa1,1
CFAS_181,1
MI1PP,0
UDPGALM,0
TDPDRR,1
TDPDRE,1
TDPGDH,1
UAG2E,0
CPSSS_BIF,1
G3PD1,2
G3POA_BIF,1
AGPATr_BIF,1
PAP_CS,0
PHCYT_BIF,1
CDGPT_BIF,1
PGPPH_BIF,1
CPD15S_BIF,1
CLPNS2_BIF,1
GPDDA1,0
GPDDA2,0
UGALT_BIF,1
CPD15L_BIF,1
LPAS_BIF,1
G3PCT,0
ACGAMK,0
HETZK,0
AMPMS2,0
PMPK,0
TMPPP,0
TMDPPK,0
HMPK2,0
HMPK4,0
HMPK3,0
HMPK1,0
TMDPK,1
QULNS,1
ASPO5,1
NNDPR,1
NAPRT,0
NNAT,1
NADK,1
NADTRHD,0
NMNDA,0
NNAM,0
NADDP,0
PNTK,0
PTTt,1
PTTR,1
PTTK,1
PTPAT,1
DPCOAK,1
PYDXNK,0
PYDXK,0
PYDAMK,0
PLPS,1
4HTHRS,0
OHPBAT,0
PYDXPP,0
DXPS,1
DXPRIi,1
MEPCT,1
CDPMEK,1
MECDPS,1
MECDPDH4,0
MECDPDH2,1
IPDPS,1
DMPPS,1
OCTDPS,0
DMATT,1
GRTT,1
FRTT,0
HEXTT,0
UDCPDPS,1
RBFK,0
FMNAT,0
ACPpds,0
UPP3MT,0
SHCHD2,0
SHCHF,0
CBLAT,1
UPPDC1,0
PPPGO3,0
CPPPGO2,0
CPPPGO,0
GTPDPK,0
GTPDPDP,0
E4PD,0
DPR,0
NADS1,1
ATPS4,2
FOLR2,1
DHFR,1
ADCS,0
DHFS,0
THFGLUS,0
FMETTRS,0
GTPCI,0
DNTPPA,0
DNMPPA,0
DHNPA2,0
DHNPA,0
HPPK2,0
HPPK,0
FOLD3,0
DHPS2,0
DHPS,0
MTHFR2,1
MTHFR3,0
MTHFC,1
MTHFD,1
FTHFL,2
FTHFCL,0
MI3PP,0
MI4PP,0
RNDR1,0
RNDR2,0
RNDR3,0
RNDR4,1
ADK1,4
DADK,0
HXPRT,0
XPPT,0
GUAPRT,0
DCTPD,0
ADPT,1
TMDS,1
UPPRTr,0
DUTPDP,0
DTMPK,1
GK1,1
DGK1,0
NTD6,0
NTD1,0
NT5C,0
NRPH_AZ,0
NTD7,0
NTD11,0
NTD10,0
NTD8,0
NTD9,0
NTD2,1
NTD4,1
NTD3,0
NTD5,0
ADA,0
NTPP8,0
NTPP4,0
G1PTT,1
TRDR,1
THIORDXi,0
GLUPRT,1
PRAGS,1
GART,1
PRFGS,1
PRAIS,1
AIRCr,1
PRASCS,1
ADSL2,1
ADSL1,1
AICART,1
IMPC,2
ADSS,1
ADK2,1
UPPT,1
DTPPT,1
GPPT,1
IMPD,1
NTP1,0
NTP2,0
NTP3,0
NTP4,0
NTTP11,0
NTPP10,0
NTPP6,0
NTPP7,0
NTPP5,0
NTPP2,0
NTPP3,0
NTPP1,0
GMPS2,1
GK2,0
NTPTP1,0
NTPTP2,0
PPK2,4
ADPRDP,0
OMPDC,1
GNNUC,0
ADNUC,1
INSH,0
XTSNH,0
URIH,1
CYTDH,1
ASPCT,1
CTPS2,0
DHORTS,2
ORPT,2
DHORD,0
CTPS1,1
DCTPD2,0
RNTR1,1
RNTR2,1
RNTR3,1
RNTR4,0
URIDK1r,1
URIDK2r,2
DHORDfum,1
DHORD2,0
DHORD5,0
DHORD_NAD,0
CSND,1
YUMPS,0
FRUabc,4
RIBabc,0
XYLabc,0
GLCt2,4
GLCpts,0
RAFFINabc,0
MELIBabc,0
GALt2,4
SUCRt2,4
SUCRt2Na,0
LCTSt,4
LCTsabc,0
MALTTTRabc,0
MALTHXabc,0
MALTTRabc,0
MALTabc,4
ARBTt2r,0
ARBabc,0
GLUabc,0
LNBabc,0
GNBabc,0
SUCCt3,1
SPMDabc,0
PTRCabc,0
URAt2,0
XANt2,0
CLtex,1
COBALT2tex,1
MG2tex,1
HXANt2r,0
NH4t,1
MN2t3,1
FE2abc,1
FE3abc,1
MOBDabc,1
Kt2,1
PIabc,0
PIt2r,1
VALabc,0
LEUabc,0
ILEabc,0
THRabc,0
HISabc,0
GLNabc,0
TRPt2r,0
PHEt2,0
TYRt2,0
ILEt2r,0
CYSt2,1
ARGabc,0
ARGt2r,0
LYSt5r,0
SERt2r,0
GLYt2r,0
ALAt2r,0
ALA_Dt6,0
ASPt2r,0
ASNt2r,0
CBL1abc,1
CH4St,0
H2Ot,2
CO2t,2
H2St,0
MQN4t,1
NCAMUP,0
NACt,0
GLYCt,0
UREAt,0
L-LACt2r,0
ACt2r,2
ETOHt2r,2
CA2abc,1
FOLt,1
VALt2,0
LEUt2r,0
Znabc,1
NAt3,0
PROt4,0
PROt2r,0
SKMt2,0
ACALDt,0
METabc,0
METSOX1abc,0
BTNabc,0
THMabc,1
4AHMMPabc,0
RIBFLVt3,1
CU2abc,1
HG2abc,0
CD2abcpp,0
CGLYabc,0
GTHRDabc,0
H2O2t,0
BILEt4,0
