,Unnamed: 0,ID,Name,Lower_FB,Upper_FB,Flux,Active_in_FBA,Include,Import
0,77,EX_ac(e),acetate exchange,0,1000,13.62051828,TRUE,TRUE,FALSE
1,7,EX_arab-L(e),L-arabinose exchange,0,1000,0,FALSE,TRUE,TRUE
2,27,EX_ca2(e),calcium exchange,-1000,1000,-0.001471671,TRUE,TRUE,TRUE
3,69,EX_cbl1(e),cob(I)alamine exchange,-1000,1000,-7.01E-05,TRUE,TRUE,TRUE
4,34,EX_cl(e),chloride exchange,-1000,1000,-0.001471671,TRUE,TRUE,TRUE
5,76,EX_co2(e),carbon dioxide exchange,-1000,1000,1.707304699,TRUE,TRUE,FALSE
6,33,EX_cobalt2(e),cobalt+2 exchange,-1000,1000,-0.000980905,TRUE,TRUE,TRUE
7,29,EX_cu2(e),Cu+2 exchange,-1000,1000,-0.000980905,TRUE,TRUE,TRUE
8,37,EX_cys-L(e),cysteine exchange,-1000,1000,-0.056399499,TRUE,TRUE,TRUE
9,78,EX_etoh(e),ethanol exchange,0,1000,4.46557458,TRUE,TRUE,FALSE
10,23,EX_fe2(e),Fe+2 exchange,-1000,1000,-0.00220735,TRUE,TRUE,TRUE
11,24,EX_fe3(e),Fe+3 exchange,-1000,1000,-0.00220735,TRUE,TRUE,TRUE
12,68,EX_fol(e),folate exchange,-1000,1000,-0.044447071,TRUE,TRUE,TRUE
13,84,EX_for(e),Formate exchange,0,1000,6.775175379,TRUE,TRUE,FALSE
14,3,EX_fru(e),fructose exchange,0,1000,0,FALSE,TRUE,TRUE
15,0,EX_glc-D(e),D-glucose exchange,-10,1000,-10,TRUE,TRUE,TRUE
16,73,EX_h(e),proton exchange,-1000,1000,22.3058285,TRUE,TRUE,FALSE
17,72,EX_h2o(e),H2O exchange,-1000,1000,6.660778065,TRUE,TRUE,FALSE
18,39,EX_ile-L(e),isoleucine exchange,0,1000,0,FALSE,TRUE,TRUE
19,22,EX_k(e),potassium exchange,-1000,1000,-0.055183744,TRUE,TRUE,TRUE
20,80,EX_lac-L(e),lactate exchange,0,1000,0,FALSE,TRUE,FALSE
21,38,EX_leu-L(e),leucine exchange,0,1000,0,FALSE,TRUE,TRUE
22,36,EX_met-L(e),L-methionine exchange,0,1000,0,FALSE,TRUE,TRUE
23,20,EX_mg2(e),Mg+2 exchange,-1000,1000,-0.002452576,TRUE,TRUE,TRUE
24,30,EX_mn2(e),Mn+2 exchange,-1000,1000,-0.000980905,TRUE,TRUE,TRUE
25,32,EX_mobd(e),molybdate exchange,-1000,1000,-0.000980905,TRUE,TRUE,TRUE
26,70,EX_mqn4(e),menaquinone-4 exchange,-1000,1000,-7.01E-05,TRUE,TRUE,TRUE
27,18,EX_nh4(e),NH4 exchange,-1000,1000,-3.020249921,TRUE,TRUE,TRUE
28,44,EX_phe-L(e),phenylalanine exchange,0,1000,0,FALSE,TRUE,TRUE
29,19,EX_pi(e),phosphate exchange,-1000,1000,-0.216704117,TRUE,TRUE,TRUE
30,51,EX_pro-L(e),proline exchange,0,1000,0,FALSE,TRUE,TRUE
31,64,EX_ptt(e),pantethine exchange,-1000,1000,-9.05E-05,TRUE,TRUE,TRUE
32,65,EX_ribflv(e),riboflavine exchange,-1000,1000,-7.01E-05,TRUE,TRUE,TRUE
33,81,EX_succ(e),succinate exchange,0,1000,0.195042285,TRUE,TRUE,FALSE
34,8,EX_sucr(e),sucrose exchange,0,1000,0,FALSE,TRUE,TRUE
35,61,EX_thm(e),thiamine exchange,-1000,1000,-7.01E-05,TRUE,TRUE,TRUE
36,42,EX_thr-L(e),threonine exchange,0,1000,0,FALSE,TRUE,TRUE
37,43,EX_trp-L(e),tryptophan exchange,0,1000,0,FALSE,TRUE,TRUE
38,40,EX_val-L(e),valine exchange,0,1000,0,FALSE,TRUE,TRUE
39,25,EX_zn2(e),Zn+2 exchange,-1000,1000,-0.000980905,TRUE,TRUE,TRUE
