,ID,Name,Lower_FB,Upper_FB,Flux,Active_in_FBA,Include
63,EX_4abz(e),4-aminobenzoate exchange,-1000,1000,0,FALSE,FALSE
77,EX_ac(e),acetate exchange,0,1000,13.62051828,TRUE,TRUE
79,EX_acald(e),acetaldehyde exchange,0,1000,0,FALSE,FALSE
49,EX_ala-L(e),alanine exchange,0,1000,0,FALSE,FALSE
7,EX_arab-L(e),L-arabinose exchange,0,1000,0,FALSE,TRUE
45,EX_arg-L(e),arginine exchange,0,1000,0,FALSE,FALSE
55,EX_asn-L(e),asparagine exchange,0,1000,0,FALSE,FALSE
54,EX_asp-L(e),aspartate exchange,0,1000,0,FALSE,FALSE
62,EX_btn(e),biotin exchange,-1000,1000,-6.29E-07,FALSE,FALSE
27,EX_ca2(e),calcium exchange,-1000,1000,-0.001471671,TRUE,TRUE
69,EX_cbl1(e),cob(I)alamine exchange,-1000,1000,-7.01E-05,TRUE,TRUE
28,EX_cd2(e),Cd+2 exchange,-1000,1000,0,FALSE,FALSE
10,EX_cellb(e),cellobiose exchange,0,1000,0,FALSE,FALSE
56,EX_cgly(e),Cys-Gly Exchange,0,1000,0,FALSE,FALSE
35,EX_ch4s(e),methanethiol exchange,-1000,0,0,FALSE,FALSE
34,EX_cl(e),chloride exchange,-1000,1000,-0.001471671,TRUE,TRUE
76,EX_co2(e),carbon dioxide exchange,-1000,1000,1.707304699,TRUE,TRUE
33,EX_cobalt2(e),cobalt+2 exchange,-1000,1000,-0.000980905,TRUE,TRUE
29,EX_cu2(e),Cu+2 exchange,-1000,1000,-0.000980905,TRUE,TRUE
37,EX_cys-L(e),cysteine exchange,-1000,1000,-0.056399499,TRUE,TRUE
78,EX_etoh(e),ethanol exchange,0,1000,4.46557458,TRUE,TRUE
23,EX_fe2(e),Fe+2 exchange,-1000,1000,-0.00220735,TRUE,TRUE
24,EX_fe3(e),Fe+3 exchange,-1000,1000,-0.00220735,TRUE,TRUE
68,EX_fol(e),folate exchange,-1000,1000,-0.044447071,TRUE,TRUE
84,EX_for(e),Formate exchange,0,1000,6.775175379,TRUE,TRUE
3,EX_fru(e),fructose exchange,0,1000,0,FALSE,TRUE
2,EX_gal(e),galactose exchange,0,1000,0,FALSE,FALSE
0,EX_glc-D(e),D-glucose exchange,-10,1000,-10,TRUE,TRUE
53,EX_gln-L(e),glutamine exchange,0,1000,0,FALSE,FALSE
52,EX_glu-L(e),glutamate exchange,0,1000,0,FALSE,FALSE
48,EX_gly(e),glycine exchange,0,1000,0,FALSE,FALSE
17,EX_gnb(e),gnb exchange,0,1000,0,FALSE,FALSE
73,EX_h(e),proton exchange,-1000,1000,22.3058285,TRUE,TRUE
74,EX_h2(e),H2 exchange,0,1000,0,FALSE,FALSE
72,EX_h2o(e),H2O exchange,-1000,1000,6.660778065,TRUE,TRUE
83,EX_h2o2(e),Hydrogen peroxide exchange,0,1000,0,FALSE,FALSE
75,EX_h2s(e),H2S exchange,0,1000,0,FALSE,FALSE
