abbreviation	fullName	chargedFormula	charge	avgmolweight	monoisotopicweight	keggId	pubChemId	cheBlId	hmdb	pdmapName	reconMap	reconMap3	food_db	chemspider	biocyc	biggId	wikipedia	drugbank	seed	metanetx	knapsack	metlin	casRegistry	epa_id	inchiKey	inchiString	smile
arab_L	L-Arabinose	C5H10O5	0	150.1299	150.0528234	C00259	439195	17535	HMDB0000646		arab_L	arab_L	FDB012306	388335		arab__L	Arabinose		cpd00224	MNXM91126		5474	5328-37-0	DTXSID9039733	SRBFZHDQGSBBOR-HWQSCIPKSA-N	InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1	[H]OC1([H])OC([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H]
arabinogal	Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000	C3862H6376O3218	0	0	0	C00569																					
fru	D-Fructose	C6H12O6	0	180.1559	180.0633881	C02336	439709	28645	HMDB0000660		fru	fru	FDB012528	388775	BETA-D-FRUCTOSE	fru	FRU		cpd00082	MNXM175	C00033848	135	53188-23-1	DTXSID5023081	RFSUNEUAIZKAJO-ARQDHWQXSA-N	InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1	[H]OC([H])([H])[C@@]1([H])O[C@](O[H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
gal	D-Galactose	C6H12O6	0	180.1559	180.0633881	C00984	439357	28061	HMDB0000143		gal	gal	FDB012703	388480	GALACTOSE	gal	Hexose		cpd00108	MNXM390	C00019681	134	59-23-4	DTXSID0023088	WQZGKKKJIJFFOK-PHYPRBDBSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6+/m1/s1	[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H]
glc_D	D-Glucose	C6H12O6	0	180.1559	180.0633881	C00031	5793	4167	HMDB0000122		glc_D	glc_D	FDB012530	5589	GLC	glc__D	Dextrose		cpd00027	MNXM41	C00042470	133	50-99-7	DTXSID7022910	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
lcts	Alpha-Lactose	C12H22O11	0	342.2965	342.1162115	C00243	84571	36219	HMDB0000186		lcts	lcts	FDB001145	76293	LACTOSE	lcts	Lactose		cpd00208	MNXM362	C00001136	267	63-42-3	DTXSID2023193	GUBGYTABKSRVRQ-QKKXKWKRSA-N	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11?,12+/m1/s1	[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H]
malt	D-Maltose	C12H22O11	0	342.2965	342.1162115	C00208	10991489	47937	HMDB0000163		malt	malt	FDB001193	9166684	MALTOSE	malt	Malt sugar	DBMET00495	cpd00179	MNXM165	C00001140	413	69-79-4	DTXSID1023233	GUBGYTABKSRVRQ-PICCSMPSSA-N	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1	[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
melib	TG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))	C12H22O11	0	899.395	898.7050407				HMDB0055419							melib			cpd03198	MNXM1434					KDEWWQZHBSXNPX-XGZCLZEASA-N		
raffin	Raffinose	C18H32O16	0	0	0				HMDB0003213							raffin			cpd00382	MNXM621							
rib_D	D-Ribose	C5H10O5	0	150.1299	150.0528234	C00121	5779	16988	HMDB0000283		rib_D	rib_D	FDB011145	5575	CPD-10330	rib__D	Ribose	DB01936	cpd00105	MNXM242	C00034198	313	50-69-1	DTXSID6043917	HMFHBZSHGGEWLO-SOOFDHNKSA-N	InChI=1S/C5H10O5/c6-1-2-3(7)4(8)5(9)10-2/h2-9H,1H2/t2-,3-,4-,5?/m1/s1	[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H]
