abbreviation	fullName	chargedFormula	charge	avgmolweight	monoisotopicweight	keggId	pubChemId	cheBlId	hmdb	pdmapName	reconMap	reconMap3	food_db	chemspider	biocyc	biggId	wikipedia	drugbank	seed	metanetx	knapsack	metlin	casRegistry	epa_id	inchiKey	inchiString	smile
xyl_D	D-Xylose	C5H10O5	0	150.1299	150.0528234	C00181	135191	53455	HMDB0000098		xyl_D	xyl_D	FDB001136	119104	XYLOSE	xyl__D	 Wood sugar		cpd00154	MNXM348	C00007290	314	58-86-6	DTXSID0023745	PYMYPHUHKUWMLA-VPENINKCSA-N	InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O
tre	Trehalose	C12H22O11	0	342.2965	342.1162115	C01083	7427	16551	HMDB0000975		tre	tre	FDB001114	7149	TREHALOSE	tre	Trehalose		cpd00794	MNXM198	C00001152	5913	99-20-7	DTXSID3048102	HDTRYLNUVZCQOY-LIZSDCNHSA-N	InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1	[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
rib_D	D-Ribose	C5H10O5	0	150.1299	150.0528234	C00121	5779	16988	HMDB0000283		rib_D	rib_D	FDB011145	5575	CPD-10330	rib__D	Ribose	DB01936	cpd00105	MNXM242	C00034198	313	50-69-1	DTXSID6043917	HMFHBZSHGGEWLO-SOOFDHNKSA-N	InChI=1S/C5H10O5/c6-1-2-3(7)4(8)5(9)10-2/h2-9H,1H2/t2-,3-,4-,5?/m1/s1	[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H]
ppa	Propionic acid	C3H5O2	-1	74.0785	74.03677944	C00163	1032	30768	HMDB0000237		ppa	ppa	FDB008285	1005	PROPIONATE	ppa	Propionic acid	DB03766	cpd00141	MNXM162260	C00044287	3215	79-09-4	DTXSID90222279	XBDQKXXYIPTUBI-UHFFFAOYSA-M	InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/p-1	[H]C([H])([H])C([H])([H])C([O-])=O
pac	Phenylacetic acid	C8H7O2	-1	136.1479	136.0524295	C07086	999	30745	HMDB0000209		pac	pac	FDB010558	10181341	PHENYLACETATE	pac	Phenylacetic_acid		cpd00430	MNXM497	C00000750	129	103-82-2	DTXSID3051626	WLJVXDMOQOGPHL-UHFFFAOYSA-M	InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)/p-1	[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([O-])=O
mnl	D-Mannitol	C6H14O6	0	0	0				HMDB0000765							mnl			cpd00314	MNXM615							
melib	TG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))	C12H22O11	0	899.395	898.7050407				HMDB0055419							melib			cpd03198	MNXM1434					KDEWWQZHBSXNPX-XGZCLZEASA-N		
man	D-Mannose	C6H12O6	0	180.1559	180.0633881	C00159	18950	4208	HMDB0000169	D-mannose	man	man	FDB001202	17893	MANNOSE	man	D-Mannose		cpd00138	MNXM182	C00050441		3458-28-4	DTXSID5040463	WQZGKKKJIJFFOK-QTVWNMPRSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6?/m1/s1	[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
malt	D-Maltose	C12H22O11	0	342.2965	342.1162115	C00208	10991489	47937	HMDB0000163		malt	malt	FDB001193	9166684	MALTOSE	malt	Malt sugar	DBMET00495	cpd00179	MNXM165	C00001140	413	69-79-4	DTXSID1023233	GUBGYTABKSRVRQ-PICCSMPSSA-N	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1	[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
lys_L	L-Lysine	C6H15N2O2	1	146.1876	146.1055277	C00047	5962	18019	HMDB0000182		lys_L	lys_L	FDB000474	5747	LYS	lys__L	L-Lysine		cpd00039	MNXM78	C00001378	5200	56-87-1	DTXSID6023232	KDXKERNSBIXSRK-YFKPBYRVSA-O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1	[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H]
